Grammar,Use,Meaning,Example,Link
べくして,Vる+べくして+Vた（するべくして）,Logicamente ocurre/Como era de esperarse A,いつもこんな場所に自転車をおいていたから、盗むべくして盗んだ,https://jlptsensei.com/learn-japanese-grammar/べくして-beku-shite-meaning/
びる・びて・びた,Vる・Aい（い）｜　びた＋N,Tener tendencia de/Parecer A (っぽい pero formal),彼はカバンから古びたカメラを取り出した,https://jlptsensei.com/learn-japanese-grammar/びる-biru-びた-bita-びて-bite-meaning/
ぶり・っぷり,Ｖます（ます）＋ぶり・Ｎ＋っぷり,Forma/Estilo/Manera de hacer A (Como apariencia),先生はその生徒の頑張りぶりを見ていた,https://jlptsensei.com/learn-japanese-grammar/ぶり-っぷり-buri-ppuri-meaning/
ぶる・ぶって・ぶった,N・Aな・Aい（い）,Finjiendo/Pretendiendo ser A (Connotacion negativa),彼はお金持ちぶっているが、本当は借金が沢山ある,https://jlptsensei.com/learn-japanese-grammar/ぶる-ぶって-ぶった-buru-butte-butta-meaning/
だに・だにしない,Vる・N,(Ni tan)Siquiera A,こんなひどい事故が起きる想像だしなかった,https://jlptsensei.com/learn-japanese-grammar/だに-だにしない-dani-shinai-meaning/
だの~だの,V・Aい・Aな＋だった・N＋だった＋...＋B＋...,A y B (Connotacion negativa/Insatisfaccion),父は酒だの、たばこだのが好きで、健康が心配です,https://jlptsensei.com/learn-japanese-grammar/だの～だの-dano-dano-meaning/
だろうに,sentence+...,"Si se dira A, lo mas seguro es que... (1.Criticar o empatizar 2.Arrepentimiento)",私はあなたの立場だったら、辞めているだろうに,https://jlptsensei.com/learn-japanese-grammar/だろうに-darou-ni-meaning/
であれ・であろうと,N,Sea o no/Sea cual sea A (Depende de que sea A),噓をつくとは、どんな理由であれ、許されないことだ,https://jlptsensei.com/learn-japanese-grammar/であれ-であろうと-de-are-de-arou-meaning/
であれ~であれ・であろうと~であろうと,N＋であれ＋N＋であれ,Sea A o B,彼がお金持ちであろうと貧乏であろうと、私の気持ちは変わることはない,https://jlptsensei.com/learn-japanese-grammar/であれ～であれ-de-are-de-are-meaning/
でもあり~でもある,N＋で・Aな＋で・Aい（いく）,Hay/Esta A y B,明日の試合は興奮でもあり、緊張でもある,https://jlptsensei.com/learn-japanese-grammar/でもあり～でもある-demo-ari-demo-aru-meaning/
でも何でもない・くも何ともない,N・Aな＋でも何でもない｜Aい（い）＋くも何ともない,No es ni remotamente/No ser para nada A,けれの上段は面白くも何ともない,https://jlptsensei.com/learn-japanese-grammar/でも何でもない-くも何ともない-demo-nan-demo-nai-meaning/
でなくて何だろう,N,"Si no es A, ¿Entonces que es? (Tiene que ser A/Definitivamente es A)",彼女に対するこの気持ちは、愛ではなくて何だろう,https://jlptsensei.com/learn-japanese-grammar/でなくてなんだろう-denakute-nan-darou-meaning/
ではあるまいか,Vる・Aい＋の｜N・Aな＋（なの）,No sera A acaso/Podria ser que A,１００万円宝くじが当たるなんで夢ではあるまいか,https://jlptsensei.com/learn-japanese-grammar/ではあるまいか-dewa-arumai-ka-meaning/
ではあるまいし・でもあるまいし・じゃあるまいし,N,"No es como si/ Ya que no es A, B",子供ではあるまいし、泣くのはやめなさい,https://jlptsensei.com/learn-japanese-grammar/ではあるまいし-dewa-arumai-shi-meaning/
では済まない,Vる＋（の）＋では済まない｜N＋では済まされない,No basta con/No se puede resolver solo con A,あなたが彼女に言ったことは、冗談では済まされない,https://jlptsensei.com/learn-japanese-grammar/では済まない-dewa-sumanai-meaning/
どうにも~ない,Vない・N＋がない,No hay manera de/No se puede hacer nada con B,彼はどうにも身の置き場がないような調子だ,https://jlptsensei.com/learn-japanese-grammar/どうにも～ない-dou-nimo-nai-meaning/
が早いか,Vる,"Tan pronto como/Inmediatamente despues de A, B",その人は、信号の色が変わるが早いか、走り出した,https://jlptsensei.com/learn-japanese-grammar/が早いか-ga-hayai-ka-meaning/
が・も~なら、~も~だ,N1＋が＋N1＋なら、N2＋も＋N2＋だ,"Si A es asi, B tambien lo es (critica o insatisfaccion)",先生が先生なら、学生も学生だ,https://jlptsensei.com/learn-japanese-grammar/が-も～なら～も～だ-ga-mo-nara-mo-da-meaning/
がましい,N,Parecerse a/Ser como si A (Siendo A malo),彼女は言い訳がましいこと一切言わなかった,https://jlptsensei.com/learn-japanese-grammar/がましい-gamashii-meaning/
がてら,Vます（ます）・N,"Aprovechando que/De paso de A, B (Como ついでに pero formal)",散歩がてら、コンビニに行ってくるよ,https://jlptsensei.com/learn-japanese-grammar/がてら-gatera-meaning/
ごとき・ごとく・ごとし,"MUY LARGO, MIRAR WEB","Seria como un ""Como""",,https://jlptsensei.com/learn-japanese-grammar/ごとき-ごとく-ごとし-gotoki-gotoku-gotoshi-meaning/
ぐるみ,N,Todo A (En conjunto),先週にクラスぐるみで京都に旅行に行った,https://jlptsensei.com/learn-japanese-grammar/ぐるみ-gurumi-meaning/
羽目になる,Vる,Terminar por/Verse obligado a A (Situacion no planeada con final indeseado),歩くときに転んで、入院する羽目になった,https://jlptsensei.com/learn-japanese-grammar/羽目になる-はめになる-hame-ni-naru-meaning/
程のことではない,Vる,No hay necesidad/No vale la pena A,それは悲しむ程のことではない,https://jlptsensei.com/learn-japanese-grammar/ほどのことではない-hodo-no-koto-dewa-nai-meaning/
方がましだ,Vる・N＋の,"Antes que A-1, prefiero A (Ambas malas opciones, pero mejor la segunda)",あなたと結婚するくらいなら、独身方がましだ,https://jlptsensei.com/learn-japanese-grammar/ほうがましだ-hou-ga-mashi-da-meaning/
放題,Ｖます（ます）,Todo lo A como se desee (食べ放題),僕の家へ来れば本は読み放題だ,https://jlptsensei.com/learn-japanese-grammar/放題-ほうだい-houdai-meaning/
いかんだ・いかんでは・いかんによっては,N＋（の）＋...,"Dependiendo de A, B",検査の結果いかんでは、入院もあり得ます,https://jlptsensei.com/learn-japanese-grammar/いかんだ-いかんでは-いかんによっては-ikan-dewa-meaning/
いかんにかかわらず・いかんいよらず・いかんをとわず,N＋（の）＋...,"Independientemente de A, B(Misma accion diferente condicion)",この講義は専攻いかんにかかわらず、全員受けてください,https://jlptsensei.com/learn-japanese-grammar/いかんにかかわらず-いかんによらず-ikan-ni-kakawarazu-meaning/
いかなる,...＋N,Ningun tipo de A (Algo se aplica para todas las condiciones),私はいかなる質問にも答えるつもりはない,https://jlptsensei.com/learn-japanese-grammar/如何なる-いかなる-ikanaru-meaning/
いかに,...＋N・V・A,Como/Cuan/Por mucho que B,これはいかに難しいか分かり始めている,https://jlptsensei.com/learn-japanese-grammar/如何に-いかに-ikani-meaning/
いかにも,... + sentence,Realmente/Sin duda B,彼の質問の仕方は、いかにも報道記者らしかった,https://jlptsensei.com/learn-japanese-grammar/如何にも-いかにも-ikani-mo-meaning/
いずれにしても・いずれにしろ・いずれにせよ,... + sentence,"De cualquier manera/De todos modos... (Como el ""Anyway"" ingles)",いずれにしてもスケジュールは変更できない,https://jlptsensei.com/learn-japanese-grammar/いずれにしても-いずれにせよ-izure-ni-shitemo-meaning/
じみた・じみる・じみている,N＋じみた＋N｜N＋じみる・じみている,Parece/Da la impresion de A,彼は子供じみたことをしてよく妻を困らせた,https://jlptsensei.com/learn-japanese-grammar/じみた-jimita-meaning/
か否か,N・Aな・Aい・Vる+...,Si es o no es A,それは真実か否かが分からない,https://jlptsensei.com/learn-japanese-grammar/か否か-かいなか-ka-ina-ka-meaning/
かと思いきや,sentence + ... + sentence,"Pensaba/Creia que A, pero resulto B (Sorpresa)",やっとしけんが終わってやめるかと思いきや、宿題を沢山出されました,https://jlptsensei.com/learn-japanese-grammar/かと思いきや-かとおもいきや-to-omoikiya-meaning/
限りだ,A+...,Sentirse muy A (como とても o めっちゃ pero mas formal),妹の結婚式に出られないとは、残念な限りだ,https://jlptsensei.com/learn-japanese-grammar/限りだ-kagiri-da-meaning/
甲斐もなく,Vた・N＋の（Vする）＋...,Siendo inutil/en vano A,待った甲斐もなく、彼はとうとう帰ってこなかった,https://jlptsensei.com/learn-japanese-grammar/甲斐もなく-かいもなく-kai-mo-naku-meaning/
可能性がある,N＋の・Vる＋...,Existe la posibilidad de/ Puede que A,あの行動が無駄になる可能性がある,https://jlptsensei.com/learn-japanese-grammar/可能性がある-かのうせいがある-kanousei-ga-aru-meaning/
からある・からする・からの,N＋...,"Al menos/como minimo A (からある para cantidades, からする para precios)",３００万円からする車を買った,https://jlptsensei.com/learn-japanese-grammar/からある-kara-aru-からする-kara-suru-からの-kara-no-meaning/
多かれ~少なかれ・遅かれ~早なかれ・良かれ~悪かれ,...,Mas o menos/Mas pronto o tarde/Para mal o bien,人は少なかれ多かれ、悩みを持っているものだ,https://jlptsensei.com/learn-japanese-grammar/かれ～かれ-kare-kare-meaning/
かたがた,N＋...,"A la vez que A, B (Proposito secundario, tipico con saludos o visitas) (Formal)",結婚の報告かたがたお礼に伺いました,https://jlptsensei.com/learn-japanese-grammar/かたがた-katagata-meaning/
かたわら,Vる・N＋の...,"A la vez que A, B (2 acciones simultaneas) (Formal)",母は家事のかたわら、ピアノを教えている,https://jlptsensei.com/learn-japanese-grammar/かたわら-katawara-meaning/
かつて,... + sentence,Antiguamente/En el pasado B,ロンドンはかつて霧で有名だった,https://jlptsensei.com/learn-japanese-grammar/かつて-katsute-meaning/
嫌いがある,Vる・N＋の...,Tener tendencia a/Ser propenso a A (Critica negativa),彼女は面接の時に緊張する嫌いがある,https://jlptsensei.com/learn-japanese-grammar/嫌いがある-きらいがある-kirai-ga-aru-meaning/
切がない,Vば・Vたら・Vると＋...,A no tiene fin/es interminable,彼が一旦不平を言い始めると切がない,https://jlptsensei.com/learn-japanese-grammar/切りがない-きりがない-kiri-ga-nai-meaning/
切っての,N＋...＋N,X es el mejor/mas destacado B de A,彼はうちの大学きっての秀才だ,https://jlptsensei.com/learn-japanese-grammar/きっての-kitte-no-meaning/
極まる・極まりない,Aな（な）・Aな（なこと）・Aい（いこと）＋...,Extremadamente/No podria ser mas A (Formal),あの人は社長として、無責任極まらない,https://jlptsensei.com/learn-japanese-grammar/極まる-極まりない-kiwamaru-kiwamarinai-meaning/
こそあれ,N＋...,"Aunque A (Algo malo), B (Bueno o importante)",苦労こそあれ、介護の仕事はやりがいがあります,https://jlptsensei.com/learn-japanese-grammar/こそあれ-koso-are-meaning/
こそすれ,N・Vます（ます）＋...＋sentence（ない）,"A es asi, B jamas ocurrira (A y B hechos opuestos, enfatizar A)",あなたは感謝こそすれ、恨んでなどいません,https://jlptsensei.com/learn-japanese-grammar/こそすれ-koso-sure-meaning/
こそ~が・けれど,N＋...＋が・けれど,"Aunque A es B, C (A mala, B buena/A buena, B mala)",この生徒は字こそ汚いが、いい文章を書く,https://jlptsensei.com/learn-japanese-grammar/こそ～が～けれど-koso-ga-keredo-meaning/
ことごとく,... + V,"Todo/Completamente B (Como 全て, pero mas formal)",私の計画はことごとく失敗した,https://jlptsensei.com/learn-japanese-grammar/悉く-ことごとく-koto-gotoku-meaning/
ことこの上ない・この上ない・この上なく,A＋...,Extremadamente/No hay nada como A (Formal),N1の文法は複雑なことこの上ない,https://jlptsensei.com/learn-japanese-grammar/ことこの上ない-この上ない-この上なく-koto-no-ue-naku-meaning/
こともあって,Vる・Aい・Aな・N＋という,"Entre otras razones debido a A, B",母は病気になったこともあって、今年は外国へ行かないことにした,https://jlptsensei.com/learn-japanese-grammar/こともあって-koto-mo-atte-meaning/
ことなしに,Vる＋...,"Sin hacer A, se hace B (Como ないで o ずに, pero formal)",努力することなしにN1に合格はできない,https://jlptsensei.com/learn-japanese-grammar/ことなしに-koto-nashi-ni-meaning/
ことのないように,Vる＋...,"Con el fin de que no/Para evitar A, se hace B",思い残すことのないように、今を全力で生きている,https://jlptsensei.com/learn-japanese-grammar/ことのないように-koto-no-nai-you-ni-meaning/
こととて,Vる・N＋の・A＋...,"Puesto que/Debido a A, B (Explicacion o disculpa, extremadamente formal、ので)",急なこととて、十分な準備ができませんでした,https://jlptsensei.com/learn-japanese-grammar/こととて-koto-tote-meaning/
くらいなら・ぐらいなら,Vる＋...,"Antes que A prefiero B (Ambas opciones malas, ver 36 方がましだ)",あなたと結婚するくらいなら、独身方がましだ,https://jlptsensei.com/learn-japanese-grammar/くらいなら-kurai-nara-meaning/
くらいのものだ・くらいなものだ,N＋...,Unicamente/Solomente puede ser A,そんなことをするのは君くらいのものだ,https://jlptsensei.com/learn-japanese-grammar/くらいのものだ-ぐらいのものだ-kurai-no-mono-da-meaning/
までだ・までのことだ,Vる＋まで（のこと）だ｜Vば＋これ・それ＋までだ,No queda de otra que A (Unica y ultima opcion),給料が下がるなら、会社を辞めるまでのことだ,https://jlptsensei.com/learn-japanese-grammar/までだ-までのことだ-made-da-made-no-koto-da-meaning/
までもない・までもなく,Vる＋...,"No hace falta llegar a A (Es obvio) (ない fin de frase, なく conector)",アルコール検査をするまでもなく、彼は酔っぱらていることは明白だ,https://jlptsensei.com/learn-japanese-grammar/までもない-までもなく-made-mo-nai-made-mo-naku-meaning/
まじき,Vる＋...,"No se debe hacer A (Imperdonable segun la sociedad, trabajo, moral, etc)",他の人の案を盗むみじきことだ,https://jlptsensei.com/learn-japanese-grammar/まじき-majiki-meaning/
まくる,Vます（ます）＋...,Hacer A una y otra vez/sin parar (De manera excesiva/sin freno),彼は日曜日なのに仕事しまくっていた,https://jlptsensei.com/learn-japanese-grammar/まくる-まくって-makuru-makutte-meaning/
まみれ,N＋...,"Cubierto de A (sustancias)(Connotacion negativa, sucio/asqueroso)",息子は泥まみれに帰って来た,https://jlptsensei.com/learn-japanese-grammar/まみれ-mamire-meaning/
まるっきり,... + V・N,Totalmente/Absolutamente B (Connotacion negativa),これは私の欲しいものとまるっきり反対だ,https://jlptsensei.com/learn-japanese-grammar/丸っきり-まるっきり-marukkiri-meaning/
めく,N＋...,"Se parece a A (Formal, tendencia hacia algo)",暑くなって、ずいぶん夏めいてきましたね,https://jlptsensei.com/learn-japanese-grammar/めく-meku-meaning/
も同然だ,Vた・Vない＋も同然だ｜N＋（も）同然だ,A es practicamente igual/lo mismo,目標がないなら死んだも同然だ,https://jlptsensei.com/learn-japanese-grammar/も同然だ-mo-douzen-da-meaning/
もさることながら,N＋...,"No solo A, sino que ademas B (A es importante, pero B mas) (Formal, はもちろん)",この映画は話の内容もさることながら映像の美しさも評判がいい,https://jlptsensei.com/learn-japanese-grammar/もさることながら-mo-saru-koto-nagara-meaning/
もしないで,Vます（ます）＋...,"Sin ni siquiera A, hacer B",食べもしないで、まずいかどうかなんてわからないでしょ,https://jlptsensei.com/learn-japanese-grammar/もしないで-mo-shinai-de-meaning/
もはや,...＋sentence（ない）,A estas alturas ya no B,彼はもはやここでは働いていません,https://jlptsensei.com/learn-japanese-grammar/最早-もはや-mohaya-meaning/
もので,Vる＋...,"Debido a A, B (Para disculpas o justificar acciones informales)",朝寝坊したもので、授業に遅刻してしまいました,https://jlptsensei.com/learn-japanese-grammar/もので-mono-de-meaning/
ものを,Vる・Aい・Aな（な）＋...,Si tan solo A... (Arrepentimiento),お金がないなら、言ってくれたらよかったものを,https://jlptsensei.com/learn-japanese-grammar/ものを-mono-o-meaning/
ものと思われる,N＋（だ）・Vる・Aい・Aな（な）＋...,Se cree/supone que A (Suposicion general) (Formal),この店のパスタは冷凍したものと思われる,https://jlptsensei.com/learn-japanese-grammar/ものと思われる-ものと見られる-mono-to-omowareru-meaning/
ものと見られる,N＋（だ）・Vる・Aい・Aな（な）＋...,Se considera/estima que A (Basado en datos o hechos) (Formal),彼は一番人気アイドルだと見られている,https://jlptsensei.com/learn-japanese-grammar/ものと思われる-ものと見られる-mono-to-omowareru-meaning/
ものとする,Vる＋...,Se estipula que A (Muy formal) (normas y leyes),科料は２万円を超えないものとする,https://jlptsensei.com/learn-japanese-grammar/ものとする-mono-to-suru-meaning/
ものとして,Vる＋...,"Dando por hecho/Considerando A, B (formal)",何も知らないものとして説明してください,https://jlptsensei.com/learn-japanese-grammar/ものとして-mono-toshite-meaning/
もしくは,N＋...＋N,A o B (muy formal),お問い合わせは、電話もしくはファックスでお願いします,https://jlptsensei.com/learn-japanese-grammar/もしくは-moshikuwa-meaning/
んばかりに,Vない（ない）＋んばかり（に）・んばかりの＋N,A punto de/Como si fuera a A (formal),川の水が溢れんばかりになっている,https://jlptsensei.com/learn-japanese-grammar/んばかりに-n-bakari-ni-meaning/
んがために,Vない（ない）＋んがため（に）・んがための＋N,"Con el proposito de/Para lograr A, hacer B (igual que ために) (formal)",お母さんの手術を払わんがために、同時に色々な仕事をします,https://jlptsensei.com/learn-japanese-grammar/んがために-n-ga-tame-ni-meaning/
ながらにして,Vます（ます）＋ながらに（して）・ながらの＋N,"Mientras/Sin cambiar desde A, B (formal)",彼は生まれながらにして、ピアノの才能があった,https://jlptsensei.com/learn-japanese-grammar/ながらに-ながらの-nagara-ni-nagara-no-meaning/
ないまでも,Vない＋までも,"Sin llegar a A, B (A no se cumple del todo, pero si en cierto modo)",電話をしないまでもメッセージぐらいをしてください,https://jlptsensei.com/learn-japanese-grammar/ないまでも-nai-made-mo-meaning/
ないものでもない,Vない＋（もの）でもない,"No es como si no/No es imposible que A (Dificil o poco probable, no imposible)",そのシステムを作れないものでもないですが、お金と時間がかかります,https://jlptsensei.com/learn-japanese-grammar/ないものでもない-nai-mono-demo-nai-meaning/
ないものか・ないものだろうか,Vない＋ものか・だろうか,¿Seria posible/No habra manera de A?,もう少し分かりやすく話せないものだろうか,https://jlptsensei.com/learn-japanese-grammar/ないものか-ないものだろうか-nai-mono-ka-meaning/
ないとも限らない,Vない＋...,"Solo porque A-1, no se puede decir que no A (A no es imposible)",練習ではいつも完璧だったとしても、試験では失敗しないとも限らない,https://jlptsensei.com/learn-japanese-grammar/ないとも限らない-nai-tomo-kagiranai-meaning/
なくしては,Vる＋こと・N＋...,"Si no hay A, B es imposible",辞書なくしては、この本が読めません,https://jlptsensei.com/learn-japanese-grammar/なくしては-nakushite-wa-meaning/
並み（に）,N+N＋...,A-1 esta a/tiene el mismo nivel que A (Enfatizar el nivel de A-1),あの子は大人並みに漢字をよく知っています,https://jlptsensei.com/learn-japanese-grammar/並み-なみ-nami-meaning/
並みの,...＋N,B promedio/ordinario (B tiene un nivel estandar),彼女は並みの歌手ではない,https://jlptsensei.com/learn-japanese-grammar/並み-なみ-nami-meaning/
なんという,...＋N・Aな＋だろう・だ・が,Cuan/Que tan A es (Nivel de A es altisimo),津波が来て、彼は子供を残して自分が先逃げ。なんという悲劇だろうか,https://jlptsensei.com/learn-japanese-grammar/なんという-なんと-なんて-nan-to-iu-nanto-nante-meaning/
なんと・なんて,...＋N＋なん・の｜Aな＋なん・の｜Aな＋の＋だろう,Cuan/Que tan A es (Nivel de A es altisimo),こんな安い給料で真面目に働く彼はなんてバカらしいだろう,https://jlptsensei.com/learn-japanese-grammar/なんという-なんと-なんて-nan-to-iu-nanto-nante-meaning/
何しろ,ー,De cualquier manera/Despues de todo (Enfatizar razon o dar explicaciones),何しろ僕たちは不思議に似たところがある,https://jlptsensei.com/learn-japanese-grammar/何しろ-なにしろ-nani-shiro-meaning/
ならでは,N＋...,A-1 es el B distintivo/unico de A (B es algo tipico de A),納豆は日本ならではの食べ物だ,https://jlptsensei.com/learn-japanese-grammar/ならでは-nara-dewa-meaning/
ならいざ知らず・はいいざ知らず,N＋...,"Si fuera A seria otro caso, pero B (En otro caso seria aceptable, pero en este no)",外国ならいざ知らず、それは我が国では法律で禁止されている,https://jlptsensei.com/learn-japanese-grammar/ならいざしらず-はいざしらず-nara-iza-shirazu-meaning/
なり,Vる＋...,"Tan pronto como/Inmediatamente despues de A, B (Como が早いか)",窓を開けるなり、変な虫が入ってきた,https://jlptsensei.com/learn-japanese-grammar/なり-nari-meaning/
なりに・なりの,V・N・Aい・Aな＋...｜V・N・Aい・Aな＋なりの＋N,"A su manera ""A"" se hace B",彼は足が遅いが、遅いなりに全力で走った,https://jlptsensei.com/learn-japanese-grammar/なりに-なりの-nari-ni-nari-no-meaning/
なりとも,N・Adv＋...,Aunque sea/Por lo menos A (Incluso esa poca cantidad o grado se aceptaria),少しなりとも話しできませんか,https://jlptsensei.com/learn-japanese-grammar/なりとも-nari-tomo-meaning/
なり~なり,Vる・N＋...＋Vる・N＋なり,A o B (formal),メールなり電話なりで、彼女を連絡してください,https://jlptsensei.com/learn-japanese-grammar/なり～なり-narinari-meaning/
なしに・なしで,Vる＋こと・N＋...,"Sin A, B (なしに mas formal)",この映画は涙なしに見ることができない,https://jlptsensei.com/learn-japanese-grammar/なしに-なしで-nashi-ni-nashi-de-meaning/
に,N＋...,A y B (Formal),日本の朝食と言えば、ご飯にお味噌汁でしょう,https://jlptsensei.com/learn-japanese-grammar/に-ni-particle-meaning-and-in-addition/
に値する,Vる・N＋...,Se mecere/Es digno de A,彼はこの罰を受けるに値する,https://jlptsensei.com/learn-japanese-grammar/に値する-にあたいする-ni-atai-suru-meaning/
にあって,N＋...,"En A, ocurre B (Formal) (Enfatizar el contexto en el que algo ocurre)",彼は事故にあって足を折った,https://jlptsensei.com/learn-japanese-grammar/にあって-ni-atte-meaning/
に引き換え,Vる＋の・N・A＋...,"En comparacion con A, B (に比べて, pero formal)",去年に引き換え、今年の夏は涼しい,https://jlptsensei.com/learn-japanese-grammar/に引き換え-にひきかえ-ni-hikikae-meaning/
に至る・に至った・に至らず,Vる・N＋...,"Se llega/Alcanza A (至らず, no se alcanza)",この病気は手術に至らず、薬だけで治った,https://jlptsensei.com/learn-japanese-grammar/に至る-に至った-いたる-いたった-ni-itaru-ni-itatta-meaning/
に至るまで,N＋...,"Hasta A (まで, pero formal) (se puede acompañar de から)",10年から今に至るまで教師として勤めています,https://jlptsensei.com/learn-japanese-grammar/に至るまで-にいたるまで-ni-itaru-made-meaning/
に至っても,Vる・N＋...,"Incluso con A, B sigue sin cambiar (Negativo)",あの男は結婚に至ってもまだ浮気をしています,https://jlptsensei.com/learn-japanese-grammar/に至っても-にいたっても-ni-itattemo-meaning/
に至っては,N＋...,"Incluso A, B (Resaltar el caso extremo A dentro de una situacion general)",いつも賛成するの母に至っては今度、僕の計画に反対した,https://jlptsensei.com/learn-japanese-grammar/に至っては-にいたっては-ni-ittate-wa-meaning/
に言わせれば,N (person)＋...,"Desde el punto de vista de A, B",私に言わせれば、彼女は少し変わっている,https://jlptsensei.com/learn-japanese-grammar/に言わせれば-ni-iwasereba-meaning/
に限ったこのではない・に限ったことでもない,N＋...,A-1 no se limita unicamente a A,若者のマナーが悪いのは、この国に限ったことではない,https://jlptsensei.com/learn-japanese-grammar/に限ったことではない-ni-kagitta-koto-de-wa-nai-meaning/
にかかっては・にかかったら・にかかると・にかかれば,N＋...,"Cuando se trata de A, B (A tiene habilidades unicas que hacen que B)",彼の説明にかかっては皆商品を買ってしまう,https://jlptsensei.com/learn-japanese-grammar/にかかっては-にかかったら-にかかると-かかれば-meaning/
にかかっている,N・sentence＋...,A-1 depende de A,俺たちのチームが勝つかどうかは、君にかかっているよ,https://jlptsensei.com/learn-japanese-grammar/にかかっている-ni-kakatteiru-meaning/
にかこつけて,N＋...,"Usar A como excusa, con el fin de B",俺は風邪にかこつけて、学校を休んでゲームした,https://jlptsensei.com/learn-japanese-grammar/にかこつけて-ni-kako-tsukete-meaning/
にかまけて,N＋...,Estar tan concentrado/ocupado con A que B,俺はゲームにかまけて全然勉強しなかった,https://jlptsensei.com/learn-japanese-grammar/にかまけて-ni-kamakete-meaning/
に難くない,Vる・N＋...,"Es facil/No es dificil A (Imaginar, pensar, adivinar...) (No acciones)",彼らが離婚したことは想像に難くない,https://jlptsensei.com/learn-japanese-grammar/に難くない-にかたくない-ni-katakunai-meaning/
にまつわる,N＋...＋N,B relacionado/sobre con A (関係する),これはお酒にまつわれる話を集めた本です,https://jlptsensei.com/learn-japanese-grammar/にまつわる-ni-matsuwaru-meaning/
に則って,N＋...,"B se hace de acuerdo/basado en A (Reglas, leyes, etc.)",私はその契約に則って支払います,https://jlptsensei.com/learn-japanese-grammar/に則って-にのっとって-ni-nottotte-meaning/
に先駆けて,N＋...,"Antes que A, B (Primero B, luego A)",その映画は、世界に先駆けて、日本に上映を決まった,https://jlptsensei.com/learn-japanese-grammar/に先駆けて-にさきがけて-ni-sakigakete-meaning/
に忍びない,Vる＋...,A no se puede soportar (dolor emocional o angustia),うちの子が病気で弱っていく姿を見るに忍びない,https://jlptsensei.com/learn-japanese-grammar/に忍びない-にしのびない-ni-shinobinai-meaning/
にしたところで・としたところで,N＋（だ）・Vる・Aい・Aな（な）＋...,"Aunque sea A, B no cambia (にしたって・としたって, mas informal)",どちらにしたって状況が悪いことには変わらない,https://jlptsensei.com/learn-japanese-grammar/にしたって-にしたところで-ni-shitatte-meaning/
にして,N＋...,"Cuando A, ocurre B (Hasta que no se alcanza A no ocurre B)",三回目にして、やっとN1に合格できました,https://jlptsensei.com/learn-japanese-grammar/にして-ni-shite-meaning/
に即して・に即し・に即した,N＋...,"En consonancia con A, se hace B (De acuerdo con A)",会社の現状に即して物事を考えよう,https://jlptsensei.com/learn-japanese-grammar/に即して-にそくして-ni-sokushite-meaning/
に耐える・に耐えない,Vる・N＋...,(No) Poder soportar A,これは20年間の使用に耐える丈夫な製品です,https://jlptsensei.com/learn-japanese-grammar/に耐える-に耐えない-にたえる-にたえない-ni-taeru-ni-taenai-meaning/
に足らない・に足りない,Vる・N＋...,No merece/No vale la pena A,四人いれば、何事も恐れるに足らない,https://jlptsensei.com/learn-japanese-grammar/に足らない-に足りない-ni-taranai-ni-tarinai-meaning/
に足る・に足りる,Vる・N＋...,Merece/Vale la pena A,彼はその仕事を任せるに足る,https://jlptsensei.com/learn-japanese-grammar/に足る-に足りる-ni-taru-ni-tariru-meaning/
